Infinitive,красова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,красу́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,красова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,красу́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,красова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,красу́юсь
2nd Sing,красу́ешься
3rd Sing,красу́ется
1st Pl,красу́емся
2nd Pl,красу́етесь
3rd Pl,красу́ются
Past M,красова́лся
Past F,красова́лась
Past N,красова́лось
Past PL,красова́лись
Imp S,красу́йся
Imp PL,красу́йтесь
