Infinitive,крести́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,крестя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,крести́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,крестя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,крести́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,крещу́сь
2nd Sing,кре́стишься
3rd Sing,кре́стится
1st Pl,кре́стимся
2nd Pl,кре́ститесь
3rd Pl,кре́стятся
Past M,крести́лся
Past F,крести́лась
Past N,крести́лось
Past PL,крести́лись
Imp S,крести́сь
Imp PL,крести́тесь
