Infinitive,кры́ться
Zaliznyak Class,12a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кро́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кры́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кро́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кры́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кро́юсь
2nd Sing,кро́ешься
3rd Sing,кро́ется
1st Pl,кро́емся
2nd Pl,кро́етесь
3rd Pl,кро́ются
Past M,кры́лся
Past F,кры́лась
Past N,кры́лось
Past PL,кры́лись
Imp S,кро́йся
Imp PL,кро́йтесь
