Infinitive,крути́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,крутя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,крути́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,крутя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,крути́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кручу́сь
2nd Sing,кру́тишься
3rd Sing,кру́тится
1st Pl,кру́тимся
2nd Pl,кру́титесь
3rd Pl,кру́тятся
Past M,крути́лся
Past F,крути́лась
Past N,крути́лось
Past PL,крути́лись
Imp S,крути́сь
Imp PL,крути́тесь
