Infinitive,крои́ть
Zaliznyak Class,4b⑧
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,кроя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,крои́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,крои́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кро́енный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,кроя́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,крои́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,крои́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,крою́
2nd Sing,крои́шь
3rd Sing,крои́т
1st Pl,крои́м
2nd Pl,крои́те
3rd Pl,кроя́т
Past M,крои́л
Past F,крои́ла
Past N,крои́ло
Past PL,крои́ли
Imp S,крои́
Imp PL,крои́те
