Infinitive,кра́сть
Zaliznyak Class,7b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,краду́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кра́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кра́денный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,крадя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,кра́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,кра́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,краду́
2nd Sing,крадёшь
3rd Sing,крадёт
1st Pl,крадём
2nd Pl,крадёте
3rd Pl,краду́т
Past M,кра́л
Past F,кра́ла
Past N,кра́ло
Past PL,кра́ли
Imp S,кради́
Imp PL,кради́те
