Infinitive,"кровоточи́ть, кровото́чить*"
Zaliznyak Class,4b // 4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,кровоточа́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,кровото́чащий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,кровоточи́вший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,кровото́чивший
PART:3:Participle Type,active
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,кровоточа́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,short
PART:5:Participle Text,кровото́ча
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,кровоточи́в
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,кровото́чив
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,кровоточу́
2nd Sing,кровоточи́шь
3rd Sing,кровоточи́т
1st Pl,кровоточи́м
2nd Pl,кровоточи́те
3rd Pl,кровоточа́т
Past M,кровоточи́л
Past F,кровоточи́ла
Past N,кровоточи́ло
Past PL,кровоточи́ли
Imp S,кровоточи́
Imp PL,кровоточи́те
