Infinitive,крутану́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,крутану́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,крутану́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,крутану́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,крутану́
2nd Sing,крутанёшь
3rd Sing,крутанёт
1st Pl,крутанём
2nd Pl,крутанёте
3rd Pl,крутану́т
Past M,крутану́л
Past F,крутану́ла
Past N,крутану́ло
Past PL,крутану́ли
Imp S,крутани́
Imp PL,крутани́те
