Infinitive,крути́ть
Zaliznyak Class,4c[⑦]
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,крутя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,крути́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,крути́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кру́ченный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,кручённый
PART:4:Participle Type,passive
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
PART:5:Participle Text,крутя́
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,крути́в
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,крути́вши
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,кручу́
2nd Sing,кру́тишь
3rd Sing,кру́тит
1st Pl,кру́тим
2nd Pl,кру́тите
3rd Pl,кру́тят
Past M,крути́л
Past F,крути́ла
Past N,крути́ло
Past PL,крути́ли
Imp S,крути́
Imp PL,крути́те
