Infinitive,крепча́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,крепча́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,крепча́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,крепча́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,крепча́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,крепча́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,крепча́ю
2nd Sing,крепча́ешь
3rd Sing,крепча́ет
1st Pl,крепча́ем
2nd Pl,крепча́ете
3rd Pl,крепча́ют
Past M,крепча́л
Past F,крепча́ла
Past N,крепча́ло
Past PL,крепча́ли
Imp S,крепча́й
Imp PL,крепча́йте
