Infinitive,кре́пнуть
Zaliznyak Class,3°a[⑤]⑥
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,кре́пнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кре́пнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кре́пнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,кре́пнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кре́пну
2nd Sing,кре́пнешь
3rd Sing,кре́пнет
1st Pl,кре́пнем
2nd Pl,кре́пнете
3rd Pl,кре́пнут
Past M,кре́п
Past F,кре́пла
Past N,кре́пло
Past PL,кре́пли
Imp S,кре́пни
Imp PL,кре́пните
