Infinitive,кра́ситься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кра́сящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кра́сившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кра́сясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кра́сившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кра́шусь
2nd Sing,кра́сишься
3rd Sing,кра́сится
1st Pl,кра́симся
2nd Pl,кра́ситесь
3rd Pl,кра́сятся
Past M,кра́сился
Past F,кра́силась
Past N,кра́силось
Past PL,кра́сились
Imp S,кра́сься
Imp PL,кра́сьтесь
