Infinitive,кра́сться
Zaliznyak Class,7b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,краду́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кра́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,крадя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кра́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,краду́сь
2nd Sing,крадёшься
3rd Sing,крадётся
1st Pl,крадёмся
2nd Pl,крадётесь
3rd Pl,краду́тся
Past M,кра́лся
Past F,кра́лась
Past N,кра́лось
Past PL,кра́лись
Imp S,кради́сь
Imp PL,кради́тесь
