Infinitive,кри́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,кри́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,кри́кнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,кри́кнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,кри́кну
2nd Sing,кри́кнешь
3rd Sing,кри́кнет
1st Pl,кри́кнем
2nd Pl,кри́кнете
3rd Pl,кри́кнут
Past M,кри́кнул
Past F,кри́кнула
Past N,кри́кнуло
Past PL,кри́кнули
Imp S,кри́кни
Imp PL,кри́кните
