Infinitive,крепи́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,крепя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,крепи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,крепя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,крепи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,креплю́сь
2nd Sing,крепи́шься
3rd Sing,крепи́тся
1st Pl,крепи́мся
2nd Pl,крепи́тесь
3rd Pl,крепя́тся
Past M,крепи́лся
Past F,крепи́лась
Past N,крепи́лось
Past PL,крепи́лись
Imp S,крепи́сь
Imp PL,крепи́тесь
