Infinitive,красне́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,красне́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,красне́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,красне́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,красне́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,красне́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,красне́ю
2nd Sing,красне́ешь
3rd Sing,красне́ет
1st Pl,красне́ем
2nd Pl,красне́ете
3rd Pl,красне́ют
Past M,красне́л
Past F,красне́ла
Past N,красне́ло
Past PL,красне́ли
Imp S,красне́й
Imp PL,красне́йте
