Infinitive,кря́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,кря́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,кря́кнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,кря́кнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,кря́кну
2nd Sing,кря́кнешь
3rd Sing,кря́кнет
1st Pl,кря́кнем
2nd Pl,кря́кнете
3rd Pl,кря́кнут
Past M,кря́кнул
Past F,кря́кнула
Past N,кря́кнуло
Past PL,кря́кнули
Imp S,кря́кни
Imp PL,кря́кните
