Infinitive,кроши́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кроша́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кроши́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кроша́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кроши́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,крошу́сь
2nd Sing,кро́шишься
3rd Sing,кро́шится
1st Pl,кро́шимся
2nd Pl,кро́шитесь
3rd Pl,кро́шатся
Past M,кроши́лся
Past F,кроши́лась
Past N,кроши́лось
Past PL,кроши́лись
Imp S,кроши́сь
Imp PL,кроши́тесь
