Infinitive,кружи́ть
Zaliznyak Class,4c // 4b⑧
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,кружа́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кружи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кружи́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кру́женный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,кружа́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,кружи́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,кружи́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,кружу́
2nd Sing,кру́жишь
3rd Sing,кру́жит
1st Pl,кру́жим
2nd Pl,кру́жите
3rd Pl,кру́жат
Past M,кружи́л
Past F,кружи́ла
Past N,кружи́ло
Past PL,кружи́ли
Imp S,кружи́
Imp PL,кружи́те
