Infinitive,криви́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кривя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,криви́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кривя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,криви́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кривлю́сь
2nd Sing,криви́шься
3rd Sing,криви́тся
1st Pl,криви́мся
2nd Pl,криви́тесь
3rd Pl,кривя́тся
Past M,криви́лся
Past F,криви́лась
Past N,криви́лось
Past PL,криви́лись
Imp S,криви́сь
Imp PL,криви́тесь
