Infinitive,кривля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кривля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кривля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кривля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кривля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кривля́юсь
2nd Sing,кривля́ешься
3rd Sing,кривля́ется
1st Pl,кривля́емся
2nd Pl,кривля́етесь
3rd Pl,кривля́ются
Past M,кривля́лся
Past F,кривля́лась
Past N,кривля́лось
Past PL,кривля́лись
Imp S,кривля́йся
Imp PL,кривля́йтесь
