Infinitive,активизи́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,активизи́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,активизи́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,активизи́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,активизи́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,активизи́руюсь
2nd Sing,активизи́руешься
3rd Sing,активизи́руется
1st Pl,активизи́руемся
2nd Pl,активизи́руетесь
3rd Pl,активизи́руются
Past M,активизи́ровался
Past F,активизи́ровалась
Past N,активизи́ровалось
Past PL,активизи́ровались
Imp S,активизи́руйся
Imp PL,активизи́руйтесь
