Infinitive,тщи́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тща́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тщи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тща́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тщи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тщу́сь
2nd Sing,тщи́шься
3rd Sing,тщи́тся
1st Pl,тщи́мся
2nd Pl,тщи́тесь
3rd Pl,тща́тся
Past M,тщи́лся
Past F,тщи́лась
Past N,тщи́лось
Past PL,тщи́лись
Imp S,тщи́сь
Imp PL,тщи́тесь
