Infinitive,втащи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,втащи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вта́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,втащи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,втащи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,втащу́
2nd Sing,вта́щишь
3rd Sing,вта́щит
1st Pl,вта́щим
2nd Pl,вта́щите
3rd Pl,вта́щат
Past M,втащи́л
Past F,втащи́ла
Past N,втащи́ло
Past PL,втащи́ли
Imp S,втащи́
Imp PL,втащи́те
