Infinitive,втолко́вывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,втолко́вывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,втолко́вывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,втолко́вываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,втолко́вывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,втолко́вывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,втолко́вывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,втолко́вываю
2nd Sing,втолко́вываешь
3rd Sing,втолко́вывает
1st Pl,втолко́вываем
2nd Pl,втолко́вываете
3rd Pl,втолко́вывают
Past M,втолко́вывал
Past F,втолко́вывала
Past N,втолко́вывало
Past PL,втолко́вывали
Imp S,втолко́вывай
Imp PL,втолко́вывайте
