Infinitive,втяну́ться
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,втяну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,втяну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,втяну́сь
2nd Sing,втя́нешься
3rd Sing,втя́нется
1st Pl,втя́немся
2nd Pl,втя́нетесь
3rd Pl,втя́нутся
Past M,втяну́лся
Past F,втяну́лась
Past N,втяну́лось
Past PL,втяну́лись
Imp S,втяни́сь
Imp PL,втяни́тесь
