Infinitive,втя́гиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,втя́гивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,втя́гивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,втя́гиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,втя́гивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,втя́гиваюсь
2nd Sing,втя́гиваешься
3rd Sing,втя́гивается
1st Pl,втя́гиваемся
2nd Pl,втя́гиваетесь
3rd Pl,втя́гиваются
Past M,втя́гивался
Past F,втя́гивалась
Past N,втя́гивалось
Past PL,втя́гивались
Imp S,втя́гивайся
Imp PL,втя́гивайтесь
