Infinitive,втяну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,втяну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,втя́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,втяну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,втяну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,втяну́
2nd Sing,втя́нешь
3rd Sing,втя́нет
1st Pl,втя́нем
2nd Pl,втя́нете
3rd Pl,втя́нут
Past M,втяну́л
Past F,втяну́ла
Past N,втяну́ло
Past PL,втяну́ли
Imp S,втяни́
Imp PL,втяни́те
