Infinitive,вторга́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вторга́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вторга́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вторга́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вторга́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вторга́юсь
2nd Sing,вторга́ешься
3rd Sing,вторга́ется
1st Pl,вторга́емся
2nd Pl,вторга́етесь
3rd Pl,вторга́ются
Past M,вторга́лся
Past F,вторга́лась
Past N,вторга́лось
Past PL,вторга́лись
Imp S,вторга́йся
Imp PL,вторга́йтесь
