Infinitive,вти́снуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вти́снувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вти́снутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вти́снув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вти́снувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вти́сну
2nd Sing,вти́снешь
3rd Sing,вти́снет
1st Pl,вти́снем
2nd Pl,вти́снете
3rd Pl,вти́снут
Past M,вти́снул
Past F,вти́снула
Past N,вти́снуло
Past PL,вти́снули
Imp S,вти́сни
Imp PL,вти́сните
