Infinitive,втолкну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,втолкну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вто́лкнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,втолкну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,втолкну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,втолкну́
2nd Sing,втолкнёшь
3rd Sing,втолкнёт
1st Pl,втолкнём
2nd Pl,втолкнёте
3rd Pl,втолкну́т
Past M,втолкну́л
Past F,втолкну́ла
Past N,втолкну́ло
Past PL,втолкну́ли
Imp S,втолкни́
Imp PL,втолкни́те
