Infinitive,вто́ргнуться
Zaliznyak Class,3°a[⑤⑥]
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вто́ргшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,вто́ргнувшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вто́ргшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вто́ргнувшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вто́ргнусь
2nd Sing,вто́ргнешься
3rd Sing,вто́ргнется
1st Pl,вто́ргнемся
2nd Pl,вто́ргнетесь
3rd Pl,вто́ргнутся
Past M,вто́ргся
Past F,вто́рглась
Past N,вто́рглось
Past PL,вто́рглись
Imp S,вто́ргнись
Imp PL,вто́ргнитесь
