Infinitive,язви́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,язвя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,язви́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,язвя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,язви́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,язви́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,язвлю́
2nd Sing,язви́шь
3rd Sing,язви́т
1st Pl,язви́м
2nd Pl,язви́те
3rd Pl,язвя́т
Past M,язви́л
Past F,язви́ла
Past N,язви́ло
Past PL,язви́ли
Imp S,язви́
Imp PL,язви́те
