Infinitive,якша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,якша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,якша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,якша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,якша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,якша́юсь
2nd Sing,якша́ешься
3rd Sing,якша́ется
1st Pl,якша́емся
2nd Pl,якша́етесь
3rd Pl,якша́ются
Past M,якша́лся
Past F,якша́лась
Past N,якша́лось
Past PL,якша́лись
Imp S,якша́йся
Imp PL,якша́йтесь
