Infinitive,опусти́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,опусти́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опусти́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,опущу́сь
2nd Sing,опу́стишься
3rd Sing,опу́стится
1st Pl,опу́стимся
2nd Pl,опу́ститесь
3rd Pl,опу́стятся
Past M,опусти́лся
Past F,опусти́лась
Past N,опусти́лось
Past PL,опусти́лись
Imp S,опусти́сь
Imp PL,опусти́тесь
