Infinitive,опьяне́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,опьяне́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опьяне́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,опьяне́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,опьяне́ю
2nd Sing,опьяне́ешь
3rd Sing,опьяне́ет
1st Pl,опьяне́ем
2nd Pl,опьяне́ете
3rd Pl,опьяне́ют
Past M,опьяне́л
Past F,опьяне́ла
Past N,опьяне́ло
Past PL,опьяне́ли
Imp S,опьяне́й
Imp PL,опьяне́йте
