Infinitive,опали́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опалённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опалю́
2nd Sing,опали́шь
3rd Sing,опали́т
1st Pl,опали́м
2nd Pl,опали́те
3rd Pl,опаля́т
Past M,опали́л
Past F,опали́ла
Past N,опали́ло
Past PL,опали́ли
Imp S,опали́
Imp PL,опали́те
