Infinitive,опроки́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,опроки́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опроки́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,опроки́нусь
2nd Sing,опроки́нешься
3rd Sing,опроки́нется
1st Pl,опроки́немся
2nd Pl,опроки́нетесь
3rd Pl,опроки́нутся
Past M,опроки́нулся
Past F,опроки́нулась
Past N,опроки́нулось
Past PL,опроки́нулись
Imp S,опроки́нься
Imp PL,опроки́ньтесь
