Infinitive,оплева́ть
Zaliznyak Class,2b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оплева́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оплёванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оплева́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оплева́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оплюю́
2nd Sing,оплюёшь
3rd Sing,оплюёт
1st Pl,оплюём
2nd Pl,оплюёте
3rd Pl,оплюю́т
Past M,оплева́л
Past F,оплева́ла
Past N,оплева́ло
Past PL,оплева́ли
Imp S,оплю́й
Imp PL,оплю́йте
