Infinitive,опа́здывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,опа́здывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,опа́здывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опа́здывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,опа́здывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,опа́здывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,опа́здываю
2nd Sing,опа́здываешь
3rd Sing,опа́здывает
1st Pl,опа́здываем
2nd Pl,опа́здываете
3rd Pl,опа́здывают
Past M,опа́здывал
Past F,опа́здывала
Past N,опа́здывало
Past PL,опа́здывали
Imp S,опа́здывай
Imp PL,опа́здывайте
