Infinitive,опозда́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,опозда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опозда́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,опозда́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,опозда́ю
2nd Sing,опозда́ешь
3rd Sing,опозда́ет
1st Pl,опозда́ем
2nd Pl,опозда́ете
3rd Pl,опозда́ют
Past M,опозда́л
Past F,опозда́ла
Past N,опозда́ло
Past PL,опозда́ли
Imp S,опозда́й
Imp PL,опозда́йте
