Infinitive,опира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,опира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,опира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,опира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опира́юсь
2nd Sing,опира́ешься
3rd Sing,опира́ется
1st Pl,опира́емся
2nd Pl,опира́етесь
3rd Pl,опира́ются
Past M,опира́лся
Past F,опира́лась
Past N,опира́лось
Past PL,опира́лись
Imp S,опира́йся
Imp PL,опира́йтесь
