Infinitive,опозо́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опозо́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опозо́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опозо́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опозо́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опозо́рю
2nd Sing,опозо́ришь
3rd Sing,опозо́рит
1st Pl,опозо́рим
2nd Pl,опозо́рите
3rd Pl,опозо́рят
Past M,опозо́рил
Past F,опозо́рила
Past N,опозо́рило
Past PL,опозо́рили
Imp S,опозо́рь
Imp PL,опозо́рьте
