Infinitive,оплы́ть
Zaliznyak Class,16b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оплы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оплы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,оплы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,оплыву́
2nd Sing,оплывёшь
3rd Sing,оплывёт
1st Pl,оплывём
2nd Pl,оплывёте
3rd Pl,оплыву́т
Past M,оплы́л
Past F,оплыла́
Past N,оплы́ло
Past PL,оплы́ли
Imp S,оплыви́
Imp PL,оплыви́те
