Infinitive,оплести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оплётший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оплетённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оплетя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оплётши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оплету́
2nd Sing,оплетёшь
3rd Sing,оплетёт
1st Pl,оплетём
2nd Pl,оплетёте
3rd Pl,оплету́т
Past M,оплёл
Past F,оплела́
Past N,оплело́
Past PL,оплели́
Imp S,оплети́
Imp PL,оплети́те
