Infinitive,оправда́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оправда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опра́вданный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оправда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оправда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оправда́ю
2nd Sing,оправда́ешь
3rd Sing,оправда́ет
1st Pl,оправда́ем
2nd Pl,оправда́ете
3rd Pl,оправда́ют
Past M,оправда́л
Past F,оправда́ла
Past N,оправда́ло
Past PL,оправда́ли
Imp S,оправда́й
Imp PL,оправда́йте
