Infinitive,опроки́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,опроки́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,опроки́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опроки́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,опроки́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опроки́дываюсь
2nd Sing,опроки́дываешься
3rd Sing,опроки́дывается
1st Pl,опроки́дываемся
2nd Pl,опроки́дываетесь
3rd Pl,опроки́дываются
Past M,опроки́дывался
Past F,опроки́дывалась
Past N,опроки́дывалось
Past PL,опроки́дывались
Imp S,опроки́дывайся
Imp PL,опроки́дывайтесь
