Infinitive,опу́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опу́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опу́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опу́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опу́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опу́таю
2nd Sing,опу́таешь
3rd Sing,опу́тает
1st Pl,опу́таем
2nd Pl,опу́таете
3rd Pl,опу́тают
Past M,опу́тал
Past F,опу́тала
Past N,опу́тало
Past PL,опу́тали
Imp S,опу́тай
Imp PL,опу́тайте
