Infinitive,опра́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опра́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опра́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опра́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опра́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опра́влю
2nd Sing,опра́вишь
3rd Sing,опра́вит
1st Pl,опра́вим
2nd Pl,опра́вите
3rd Pl,опра́вят
Past M,опра́вил
Past F,опра́вила
Past N,опра́вило
Past PL,опра́вили
Imp S,опра́вь
Imp PL,опра́вьте
