Infinitive,опу́хнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,опу́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опу́хши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,опу́хну
2nd Sing,опу́хнешь
3rd Sing,опу́хнет
1st Pl,опу́хнем
2nd Pl,опу́хнете
3rd Pl,опу́хнут
Past M,опу́х
Past F,опу́хла
Past N,опу́хло
Past PL,опу́хли
Imp S,опу́хни
Imp PL,опу́хните
