Infinitive,опереди́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опереди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опережённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опереди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опереди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опережу́
2nd Sing,опереди́шь
3rd Sing,опереди́т
1st Pl,опереди́м
2nd Pl,опереди́те
3rd Pl,опередя́т
Past M,опереди́л
Past F,опереди́ла
Past N,опереди́ло
Past PL,опереди́ли
Imp S,опереди́
Imp PL,опереди́те
