Infinitive,опоя́сывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опоя́сывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,опоя́сывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опоя́сываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,опоя́сывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,опоя́сывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,опоя́сывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,опоя́сываю
2nd Sing,опоя́сываешь
3rd Sing,опоя́сывает
1st Pl,опоя́сываем
2nd Pl,опоя́сываете
3rd Pl,опоя́сывают
Past M,опоя́сывал
Past F,опоя́сывала
Past N,опоя́сывало
Past PL,опоя́сывали
Imp S,опоя́сывай
Imp PL,опоя́сывайте
