Infinitive,опусти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опусти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опу́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опусти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опусти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опущу́
2nd Sing,опу́стишь
3rd Sing,опу́стит
1st Pl,опу́стим
2nd Pl,опу́стите
3rd Pl,опу́стят
Past M,опусти́л
Past F,опусти́ла
Past N,опусти́ло
Past PL,опусти́ли
Imp S,опусти́
Imp PL,опусти́те
