Infinitive,опра́вдывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опра́вдывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,опра́вдывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опра́вдываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,опра́вдывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,опра́вдывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,опра́вдывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,опра́вдываю
2nd Sing,опра́вдываешь
3rd Sing,опра́вдывает
1st Pl,опра́вдываем
2nd Pl,опра́вдываете
3rd Pl,опра́вдывают
Past M,опра́вдывал
Past F,опра́вдывала
Past N,опра́вдывало
Past PL,опра́вдывали
Imp S,опра́вдывай
Imp PL,опра́вдывайте
