Infinitive,опеча́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опеча́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опеча́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опеча́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опеча́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опеча́таю
2nd Sing,опеча́таешь
3rd Sing,опеча́тает
1st Pl,опеча́таем
2nd Pl,опеча́таете
3rd Pl,опеча́тают
Past M,опеча́тал
Past F,опеча́тала
Past N,опеча́тало
Past PL,опеча́тали
Imp S,опеча́тай
Imp PL,опеча́тайте
