Infinitive,опере́ться
Zaliznyak Class,"9*b/c'',a"
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,опёршийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опёршись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,оперши́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обопру́сь
2nd Sing,обопрёшься
3rd Sing,обопрётся
1st Pl,обопрёмся
2nd Pl,обопрётесь
3rd Pl,обопру́тся
Past M,опёрся
Past F,оперла́сь
Past N,оперло́сь
Past PL,оперли́сь
Imp S,обопри́сь
Imp PL,обопри́тесь
