Infinitive,оплоша́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,оплоша́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оплоша́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,оплоша́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,оплоша́ю
2nd Sing,оплоша́ешь
3rd Sing,оплоша́ет
1st Pl,оплоша́ем
2nd Pl,оплоша́ете
3rd Pl,оплоша́ют
Past M,оплоша́л
Past F,оплоша́ла
Past N,оплоша́ло
Past PL,оплоша́ли
Imp S,оплоша́й
Imp PL,оплоша́йте
