Infinitive,опла́кать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опла́кавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опла́канный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опла́кав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опла́кавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опла́чу
2nd Sing,опла́чешь
3rd Sing,опла́чет
1st Pl,опла́чем
2nd Pl,опла́чете
3rd Pl,опла́чут
Past M,опла́кал
Past F,опла́кала
Past N,опла́кало
Past PL,опла́кали
Imp S,опла́чь
Imp PL,опла́чьте
