Infinitive,опеча́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опеча́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опеча́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опеча́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опеча́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опеча́лю
2nd Sing,опеча́лишь
3rd Sing,опеча́лит
1st Pl,опеча́лим
2nd Pl,опеча́лите
3rd Pl,опеча́лят
Past M,опеча́лил
Past F,опеча́лила
Past N,опеча́лило
Past PL,опеча́лили
Imp S,опеча́ль
Imp PL,опеча́льте
