Infinitive,опаса́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,опаса́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,опаса́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опаса́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,опаса́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опаса́юсь
2nd Sing,опаса́ешься
3rd Sing,опаса́ется
1st Pl,опаса́емся
2nd Pl,опаса́етесь
3rd Pl,опаса́ются
Past M,опаса́лся
Past F,опаса́лась
Past N,опаса́лось
Past PL,опаса́лись
Imp S,опаса́йся
Imp PL,опаса́йтесь
