Infinitive,описа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,описа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опи́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,описа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,описа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опишу́
2nd Sing,опи́шешь
3rd Sing,опи́шет
1st Pl,опи́шем
2nd Pl,опи́шете
3rd Pl,опи́шут
Past M,описа́л
Past F,описа́ла
Past N,описа́ло
Past PL,описа́ли
Imp S,опиши́
Imp PL,опиши́те
