Infinitive,оправля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оправля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,оправля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оправля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,оправля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оправля́юсь
2nd Sing,оправля́ешься
3rd Sing,оправля́ется
1st Pl,оправля́емся
2nd Pl,оправля́етесь
3rd Pl,оправля́ются
Past M,оправля́лся
Past F,оправля́лась
Past N,оправля́лось
Past PL,оправля́лись
Imp S,оправля́йся
Imp PL,оправля́йтесь
