Infinitive,опустоши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,опустоши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опустошённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,опустоши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,опустоши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,опустошу́
2nd Sing,опустоши́шь
3rd Sing,опустоши́т
1st Pl,опустоши́м
2nd Pl,опустоши́те
3rd Pl,опустоша́т
Past M,опустоши́л
Past F,опустоши́ла
Past N,опустоши́ло
Past PL,опустоши́ли
Imp S,опустоши́
Imp PL,опустоши́те
