Infinitive,опусте́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,опусте́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,опусте́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,опусте́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,опусте́ю
2nd Sing,опусте́ешь
3rd Sing,опусте́ет
1st Pl,опусте́ем
2nd Pl,опусте́ете
3rd Pl,опусте́ют
Past M,опусте́л
Past F,опусте́ла
Past N,опусте́ло
Past PL,опусте́ли
Imp S,опусте́й
Imp PL,опусте́йте
